part_id,nsn,part_name,part_family,criticality
PART-0001,602-647-661-786,Hydraulic Seal Kit Mk I,Hydraulics,High
PART-0002,192-309-271-139,Wiring Harness Mk II,Electrical,Medium
PART-0003,791-746-379-217,Navigation Control Unit Mk III,Avionics,Medium
PART-0004,788-992-190-79,Fuel Injector Assembly Type A,Engines,Low
PART-0005,145-982-993-365,Track Tensioner Assembly Type B,Ground Vehicles,Mission Critical
PART-0006,750-564-133-762,Radio Mounting Tray Type C,Communications,Medium
PART-0007,456-240-206-556,Waveguide Section Heavy Duty,Radar,Medium
PART-0008,71-386-46-159,Fuel Pump Cartridge Extended Range,Fuel Systems,High
PART-0009,904-361-385-170,Cooling Fan Assembly Field Repair,Cooling Systems,High
PART-0010,604-747-995-635,Access Panel Depot Level,Structural,Low
PART-0011,62-784-720-486,Air Compressor Valve Mk I,Pneumatics,Medium
PART-0012,998-612-766-405,Fire Control Cable Mk II,Weapons Support,High
PART-0013,416-153-604-409,Temperature Probe Mk III,Sensors,High
PART-0014,224-390-171-689,Oxygen Hose Assembly Type A,Life Support,Medium
PART-0015,81-183-892-948,Gasket Set Type B,Maintenance Consumables,Medium
PART-0016,81-263-179-770,Drive Shaft Assembly Type C,Powertrain,Medium
PART-0017,762-643-663-297,Brake Pad Set Heavy Duty,Braking Systems,High
PART-0018,577-160-734-419,GPS Antenna Extended Range,Navigation,Medium
PART-0019,410-984-776-812,Cargo Tie-Down Strap Field Repair,Logistics Equipment,High
PART-0020,47-852-216-307,Secure Network Card Depot Level,Cyber Systems,Low
PART-0021,730-143-394-463,Hydraulic Pump Assembly Mk I,Hydraulics,Low
PART-0022,856-784-44-33,Power Distribution Module Mk II,Electrical,Medium
PART-0023,993-856-541-129,Radar Interface Module Mk III,Avionics,Medium
PART-0024,247-934-464-985,Turbine Blade Set Type A,Engines,Medium
PART-0025,592-656-808-363,Road Wheel Bearing Type B,Ground Vehicles,Medium
PART-0026,93-122-54-460,Encryption Module Type C,Communications,Medium
PART-0027,808-297-802-287,Radar Cooling Fan Heavy Duty,Radar,Medium
PART-0028,251-348-122-92,Fuel Line Assembly Extended Range,Fuel Systems,Medium
PART-0029,237-465-683-500,Heat Exchanger Core Field Repair,Cooling Systems,High
PART-0030,687-944-308-164,Mounting Bracket Depot Level,Structural,Medium
PART-0031,322-910-269-940,Pneumatic Hose Kit Mk I,Pneumatics,High
PART-0032,788-259-936-655,Mount Stabilizer Bearing Mk II,Weapons Support,Mission Critical
PART-0033,110-268-716-820,Pressure Transducer Mk III,Sensors,Medium
PART-0034,742-307-622-384,Breathing Regulator Type A,Life Support,Mission Critical
PART-0035,743-549-502-117,O-Ring Assortment Type B,Maintenance Consumables,Medium
PART-0036,881-765-630-73,Clutch Plate Kit Type C,Powertrain,High
PART-0037,492-183-784-376,Brake Rotor Heavy Duty,Braking Systems,High
PART-0038,962-879-444-801,Inertial Measurement Unit Extended Range,Navigation,Medium
PART-0039,593-713-761-604,Pallet Lock Assembly Field Repair,Logistics Equipment,Medium
PART-0040,11-928-492-809,Rugged Server Power Supply Depot Level,Cyber Systems,Mission Critical
PART-0041,383-555-630-243,Pressure Relief Valve Mk I,Hydraulics,High
PART-0042,348-323-968-748,Circuit Breaker Mk II,Electrical,High
PART-0043,319-309-692-244,Signal Processor Card Mk III,Avionics,Low
PART-0044,294-785-949-130,Ignition Exciter Type A,Engines,Medium
PART-0045,642-133-365-559,Brake Caliper Kit Type B,Ground Vehicles,Medium
PART-0046,931-121-114-459,Coaxial Cable Assembly Type C,Communications,Medium
PART-0047,830-332-519-164,Receiver Module Heavy Duty,Radar,High
PART-0048,932-91-602-556,Fuel Pressure Sensor Extended Range,Fuel Systems,Medium
PART-0049,162-556-456-651,Coolant Pump Field Repair,Cooling Systems,High
PART-0050,803-685-368-916,Frame Reinforcement Plate Depot Level,Structural,Medium
PART-0051,727-234-324-258,Pressure Regulator Mk I,Pneumatics,Low
PART-0052,940-727-720-470,Recoil Buffer Seal Mk II,Weapons Support,Low
PART-0053,492-183-674-314,Optical Sensor Module Mk III,Sensors,Low
PART-0054,430-985-252-860,Air Filtration Cartridge Type A,Life Support,Medium
PART-0055,804-348-653-349,Lubricant Pack Type B,Maintenance Consumables,Medium
PART-0056,387-240-51-755,Gearbox Seal Type C,Powertrain,Low
PART-0057,497-128-381-896,Hydraulic Brake Line Heavy Duty,Braking Systems,High
PART-0058,220-114-68-704,Compass Sensor Extended Range,Navigation,Medium
PART-0059,24-675-632-58,Forklift Chain Field Repair,Logistics Equipment,Medium
PART-0060,632-482-764-314,Data Storage Module Depot Level,Cyber Systems,Medium
PART-0061,924-341-822-37,Actuator Cylinder Mk I,Hydraulics,Medium
PART-0062,560-1000-226-846,Voltage Regulator Mk II,Electrical,High
PART-0063,566-620-258-823,Flight Data Connector Mk III,Avionics,Medium
PART-0064,651-803-739-74,Oil Filter Cartridge Type A,Engines,High
PART-0065,879-564-663-875,Transmission Filter Type B,Ground Vehicles,High
PART-0066,440-934-224-583,Antenna Mast Section Type C,Communications,Medium
PART-0067,441-734-104-767,Transmitter Power Supply Heavy Duty,Radar,Low
PART-0068,377-542-170-735,Fuel Filter Housing Extended Range,Fuel Systems,Medium
PART-0069,660-659-636-167,Thermostat Housing Field Repair,Cooling Systems,Low
PART-0070,407-977-695-794,Hinge Assembly Depot Level,Structural,Medium
PART-0071,912-732-301-961,Air Dryer Cartridge Mk I,Pneumatics,High
PART-0072,640-299-887-606,Turret Slip Ring Mk II,Weapons Support,Medium
PART-0073,345-907-994-27,Vibration Sensor Mk III,Sensors,Medium
PART-0074,994-768-406-30,Mask Connector Kit Type A,Life Support,Low
PART-0075,94-195-638-73,Threaded Insert Kit Type B,Maintenance Consumables,Medium
PART-0076,823-83-212-440,Torque Converter Type C,Powertrain,High
PART-0077,814-966-280-997,Master Cylinder Kit Heavy Duty,Braking Systems,High
PART-0078,708-489-725-233,Navigation Display Cable Extended Range,Navigation,Medium
PART-0079,344-763-434-250,Container Latch Field Repair,Logistics Equipment,Medium
PART-0080,977-669-52-72,Firewall Appliance Fan Depot Level,Cyber Systems,High
PART-0081,951-258-447-267,Hydraulic Hose Assembly Mk I,Hydraulics,Medium
PART-0082,133-428-695-400,Battery Cable Assembly Mk II,Electrical,Mission Critical
PART-0083,937-374-870-914,Antenna Coupler Mk III,Avionics,High
PART-0084,600-3-759-712,Compressor Seal Type A,Engines,High
PART-0085,880-165-342-933,Steering Linkage Type B,Ground Vehicles,High
PART-0086,656-313-576-25,Handset Assembly Type C,Communications,High
PART-0087,929-924-532-903,Phase Shifter Unit Heavy Duty,Radar,Low
PART-0088,329-384-324-436,Refueling Adapter Extended Range,Fuel Systems,Low
PART-0089,932-952-882-858,Radiator Hose Kit Field Repair,Cooling Systems,High
PART-0090,402-393-895-902,Fastener Kit Depot Level,Structural,High
PART-0091,117-350-679-953,Pneumatic Actuator Mk I,Pneumatics,Low
PART-0092,647-400-242-862,Elevation Drive Motor Mk II,Weapons Support,Medium
PART-0093,444-785-153-595,Position Encoder Mk III,Sensors,Medium
PART-0094,101-373-50-990,Pressure Bottle Valve Type A,Life Support,Medium
PART-0095,483-597-755-194,Adhesive Sealant Tube Type B,Maintenance Consumables,Medium
PART-0096,275-471-451-796,Transfer Case Chain Type C,Powertrain,Low
PART-0097,979-601-607-436,Parking Brake Cable Heavy Duty,Braking Systems,High
PART-0098,565-277-602-490,Position Reference Module Extended Range,Navigation,Medium
PART-0099,65-365-405-569,Load Sensor Pad Field Repair,Logistics Equipment,High
PART-0100,879-991-482-735,Crypto Key Loader Cable Depot Level,Cyber Systems,Mission Critical
PART-0101,371-536-124-944,Fluid Reservoir Cap Mk I,Hydraulics,Medium
PART-0102,753-712-900-564,Terminal Block Mk II,Electrical,Low
PART-0103,383-674-464-811,Transponder Module Mk III,Avionics,Low
PART-0104,560-60-660-941,Engine Mount Bracket Type A,Engines,High
PART-0105,757-159-147-900,Axle Seal Type B,Ground Vehicles,Medium
PART-0106,914-279-907-624,Signal Amplifier Type C,Communications,Low
PART-0107,824-181-551-640,Antenna Drive Motor Heavy Duty,Radar,Low
PART-0108,815-333-211-691,Fuel Shutoff Valve Extended Range,Fuel Systems,Low
PART-0109,982-846-508-803,Temperature Sensor Field Repair,Cooling Systems,Medium
PART-0110,90-511-788-164,Support Strut Depot Level,Structural,High
PART-0111,701-350-517-773,Quick Release Valve Mk I,Pneumatics,High
PART-0112,562-281-43-625,Sight Mount Bracket Mk II,Weapons Support,High
PART-0113,83-193-365-303,Proximity Switch Mk III,Sensors,Mission Critical
PART-0114,943-211-663-2,Cabin Air Duct Type A,Life Support,Medium
PART-0115,793-724-953-991,Cleaning Solvent Kit Type B,Maintenance Consumables,Mission Critical
PART-0116,770-990-666-743,Engine Coupling Type C,Powertrain,Low
